seller_id,seller_total_revenue,seller_n_items,seller_n_orders,seller_avg_price,seller_state
4a3ca9315b744ce9f8e9374361493884,24872.23,201,189,106.34253731343284,sp
fa1c13f2614d7b5c4749cbc52fecda94,24119.21,57,57,406.4540350877193,sp
7c67e1448b00f6e969d365cea6b010ab,24109.95,141,95,134.19262411347518,sp
4869f7a5dfa277a7dca6462dcf3b52b2,22649.79,101,101,206.13346534653465,sp
7e93a43ef30c4f03f38b393420bc753a,22320.23,39,39,553.9020512820513,sp
1025f0e2d44d7041d6cf58b6550e0bfa,21088.010000000002,188,110,87.01127659574469,sp
da8622b14eb17ae2831f4ac5b9dab84a,18884.61,167,149,96.77652694610778,sp
6560211a19b47992c3666cc44a7e94c0,16926.13,218,203,63.94954128440367,sp
1f50f920176fa81dab994f9023523100,16280.43,223,165,54.93103139013452,sp
7a67c85e85bb2ce8582c35f2203ad736,16272.15,117,116,119.95418803418804,sp
955fee9216a65b617aa5c0531780ce60,14327.62,137,124,89.45299270072992,sp
53243585a1d6dc2643021fd1853d8905,14116.779999999999,26,26,508.57153846153847,ba
cc419e0650a3c5ba77189a1882b7556a,13690.12,183,174,60.334371584699454,sp
620c87c171fb2a6dd6e8bb4dec959fc6,13592.67,81,70,150.37037037037038,rj
a1043bafd471dff536d0c462352beb48,13282.0,78,73,131.9575641025641,mg
5dceca129747e92ff8ef7a997dc4f8ca,12218.14,29,29,385.56827586206896,sp
46dc3b2cc0980fb8ec44634e21d2718e,11031.23,40,40,253.74,rj
3d871de0142ce09b7081e2b9d1733cb1,10643.55,96,90,90.42812500000001,sp
7d13fca15225358621be4086e1eb0964,10599.21,59,58,166.24389830508474,sp
7ddcbb64b5bc1ef36ca8c151f6ec77df,8641.02,51,48,143.5586274509804,sp
ccc4bbb5f32a6ab2b7066a4130f114e3,8516.16,20,20,396.8075,pr
edb1ef5e36e0c8cd84eb3c9b003e486d,7756.799999999999,12,12,624.625,rj
cca3071e3e9bb7d12640c9fbe2301306,7663.92,85,74,74.15976470588235,sp
8581055ce74af1daba164fdbd55a40de,7659.02,45,42,146.76377777777776,sp
f7ba60f8c3f99e7ee4042fdef03b70c4,7643.79,26,26,275.7692307692308,sp
634964b17796e64304cadf1ad3050fb7,7486.23,53,34,124.44339622641509,rj
712e6ed8aa4aa1fa65dab41fed5737e4,7280.34,11,11,570.6363636363636,sc
b37c4c02bda3161a7546a4e6d222d5b2,7274.88,4,1,1790.0,sp
17e34d8224d27a541263c4c64b11a56b,7263.76,22,22,307.01181818181817,sp
70eea00b476a314817cefde4aad4f89a,7237.33,14,14,491.9,sp
e9bc59e7b60fc3063eb2290deda4cced,7139.17,47,34,133.7827659574468,pr
fe2032dab1a61af8794248c8196565c9,7111.68,30,27,221.61,sp
77530e9772f57a62c906e1c21538ab82,6905.13,39,35,153.96923076923076,pr
f5a590cf36251cf1162ea35bef76fe84,6721.99,15,13,410.53266666666667,sp
d23019c84ffae2d5ef2270367b8605fc,6713.750000000001,8,8,768.35,pr
4e922959ae960d389249c378d1c939f5,6704.13,55,52,106.19363636363636,sp
2eb70248d66e0e3ef83659f71b244378,6586.549999999999,23,22,272.37695652173915,sp
17a053fcb14bd219540cbde0df490be0,6323.93,16,12,304.78499999999997,sp
37be5a7c751166fbc5f8ccba4119e043,6294.2300000000005,28,28,203.49642857142857,sp
17f51e7198701186712e53a39c564617,6174.29,7,6,751.4285714285714,sp
2bf6a2c1e71bbd29a4ad64e6d3c3629f,5961.0,3,3,1950.0,rj
ea8482cd71df3c1969d7b9473ff13abc,5938.66,127,120,32.89070866141732,sp
f8db351d8c4c4c22c6835c19a46f01b0,5938.52,71,64,66.75915492957746,sp
