customer_unique_id,total_spent,n_orders,avg_order_value,avg_review_given,avg_delivery_days,total_installments_used,is_repeat_customer,customer_tier
00050ab1314c0e55a6ca13cf7181fecf,35.38,1,35.38,4.0,6.0,0,0,bronze
000a5ad9c4601d2bbdd9ed765d5213b3,91.28,1,91.28,4.0,11.0,1,0,bronze
000d460961d6dbfa3ec6c9f5805769e1,36.68,1,36.68,5.0,3.0,0,0,bronze
000de6019bb59f34c099a907c151d855,257.44,1,257.44,2.0,4.0,1,0,silver
000e309254ab1fc5ba99dd469d36bdb4,78.42,1,78.42,3.0,14.0,0,0,bronze
0027324a96d26a2bc7d69262f83c8403,46.78,1,46.78,5.0,3.0,1,0,bronze
0028a7d8db7b0247652509358ad8d755,354.87,1,354.87,3.0,23.0,0,0,gold
0029bd580d3012618731f5abb174a07f,52.38,1,52.38,2.0,,0,0,bronze
003162bf0351f47a1a247992b8b9b42d,536.6,1,536.6,5.0,9.0,1,0,gold
0034c76b7e6a17d738375b99afc2f01e,44.23,1,44.23,5.0,8.0,0,0,bronze
00370dfde3d012c420d29657afc2fc8b,237.0,1,237.0,4.0,16.0,0,0,silver
0043d65f8039b4a4d43bc7b0f450ac2c,64.42,1,64.42,5.0,8.0,1,0,bronze
0046311f458d8041b00063cb99482903,112.33,1,112.33,5.0,99.0,1,0,silver
0047f3e16441284d757a8963344f6c59,76.18,1,76.18,4.0,9.0,0,0,bronze
00539155ce68fbe677934aebdb17e09b,58.25,1,58.25,4.0,3.0,0,0,bronze
006a8c1784d622ebe06bab57e72ee045,66.64,1,66.64,2.0,34.0,0,0,bronze
00720f160ff500d3605a1bf403eb62d9,118.54,1,118.54,5.0,9.0,1,0,silver
0074a1d3f1995ff0538dc7197500973c,624.9,1,624.9,5.0,22.0,1,0,gold
007658319c060f337577e8a1834d5df5,119.45,1,119.45,4.0,23.0,1,0,silver
0078bb0f0d23e922d08437b7d0e13907,44.09,1,44.09,4.0,18.0,0,0,bronze
007b8307b6448f0425ff2001f00c1bdb,40.94,1,40.94,4.0,17.0,0,0,bronze
00a089b8c7ab1e3808c3ad7de7a254dd,42.47,1,42.47,4.0,5.0,0,0,bronze
00a1e8f160b36ccdcbca310933f12a3b,36.48,1,36.48,4.0,2.0,0,0,bronze
00a218ea82c458456098caa1c4a7e796,66.99,1,66.99,4.0,14.0,0,0,bronze
00a39521eb40f7012db50455bf083460,96.47,1,96.47,4.0,19.0,0,0,bronze
00b2ee6366438f46105832fd9acaf56f,283.54,1,283.54,5.0,11.0,1,0,silver
00ba737b18a7996f68cb8a99556bedd4,141.14,1,141.14,1.0,19.0,1,0,silver
00c003ed13c76042b78d53fbc26930d0,204.24,1,204.24,4.0,11.0,1,0,silver
00c0bbc49a530c07c110d269211da046,111.32,1,111.32,5.0,6.0,1,0,silver
00c19498681c665889d1212be870e8df,130.15,1,130.15,5.0,22.0,0,0,silver
00cd767526517f8a4fc27db6cc5a52fa,95.21,1,95.21,4.0,9.0,0,0,bronze
00d447911e5d5ae87480df8734b915f2,280.65,1,280.65,5.0,7.0,0,0,silver
00e20792154788aa00f53fbd616a8d91,185.9,1,185.9,4.0,9.0,1,0,silver
00fb8f6787f67bd33c7e86c9691d2b1c,274.39,1,274.39,1.0,21.0,0,0,silver
00ff5e862f825ac56e5fdfaa6b69dc51,49.37,1,49.37,4.0,5.0,0,0,bronze
01029081d0cfc339576f71ab45713d10,36.98,1,36.98,5.0,13.0,0,0,bronze
010a0365ab237a5e2fed9d945121b627,73.47,1,73.47,5.0,24.0,0,0,bronze
0116f610fa1418cda75e0d96e1639a03,33.68,1,33.68,5.0,7.0,0,0,bronze
011875f0176909c5cf0b14a9138bb691,4016.91,1,4016.91,5.0,5.0,1,0,platinum
011d6505c026d200e75cb0b6c47da758,81.2,1,81.2,5.0,24.0,1,0,bronze
0122d73327d9135f8088572c7d7f5d54,67.5,1,67.5,3.0,13.0,1,0,bronze
012510db7f0db8481f8a3708400c8db9,117.53,1,117.53,5.0,12.0,1,0,silver
012c61cc2c69b09c85071ccac0ccee16,74.16,1,74.16,4.0,9.0,1,0,bronze
0145fc4d376df22449756022b9ccb472,27.29,1,27.29,5.0,4.0,0,0,bronze
014644ae002bacd78bb05521f7e9aaab,20.29,1,20.29,3.0,12.0,0,0,bronze
