order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,total_payment_value,max_installments,n_payments_methods,main_payment_type,avg_review_score,n_reviews,geolocation_zip_code_prefix,geolocation_lat,gelocation_lng,geolocation_city,geolocation_state
b9a6c5f5df52c7226ac85aee7524c27f,f160aaf480efdfa7268f0fa535f73e76,delivered,2018-06-12 20:07:44,2018-06-12 20:44:26,2018-06-13 13:09:00,2018-06-19 12:44:08,2018-07-17 00:00:00,2d1bf256227e4d22d10ea6c0b81809d7,96900,sobradinho,RS,117.79,2.0,1.0,credit_card,5.0,1.0,96900.0,-29.41678369308112,-53.026586319295326,sobradinho,RS
261e71d2349c713eafa9f3df5972b95d,d6708bbbd2d419475869a84e41f620a1,delivered,2018-01-20 12:15:57,2018-01-20 12:37:13,2018-01-25 21:42:52,2018-01-30 11:32:35,2018-02-15 00:00:00,12bf514b8d413d8cbe66a2665f4b724c,30840,belo horizonte,MG,172.62,10.0,1.0,credit_card,5.0,1.0,30840.0,-19.890277616721733,-43.999366397670606,belo horizonte,MG
67b50899f52995848c427e361e10dde3,1b353c00c71689afba44554e43cc5a76,delivered,2018-06-16 21:24:10,2018-06-16 21:36:59,2018-06-21 13:55:00,2018-06-27 13:17:27,2018-07-16 00:00:00,83c6df0d47130de38c99cebe96521e8a,80220,curitiba,PR,108.43,3.0,1.0,credit_card,1.0,1.0,80220.0,-25.45634962561849,-49.26500692384355,curitiba,PR
32733fc014b67ef70fa6039dd8c6ba82,ad66699beab381d0747605f108cc02b4,delivered,2017-08-30 21:12:28,2017-08-31 02:50:24,2017-09-12 20:16:46,2017-09-25 17:53:23,2017-09-22 00:00:00,29b186723b197669f69b7d63c3e27c07,21044,rio de janeiro,RJ,256.05,1.0,1.0,boleto,5.0,1.0,21044.0,-22.857706333465654,-43.267186202026345,rio de janeiro,RJ
39a70e9e9b729b11dee34ac12478597f,20c678bfce3c8252288f70dd2bee5e51,delivered,2017-08-10 21:26:25,2017-08-10 21:44:13,2017-08-11 19:11:16,2017-08-22 16:45:00,2017-09-12 00:00:00,a59129ed35da4c3e3f2a005b4c6582fc,86081,londrina,PR,128.9,6.0,1.0,credit_card,3.0,1.0,86081.0,-23.26640620191997,-51.18563600982485,londrina,PR
80000ae9d118d79953522e35cce34f13,67372e0bce729cebb559886b6c4d9e2e,delivered,2017-02-27 11:33:35,2017-02-27 11:45:10,2017-03-01 11:03:51,2017-03-08 08:51:57,2017-03-20 00:00:00,c9fff85f2617b8e1a78142aa11ee962f,16057,aracatuba,SP,121.72,2.0,1.0,credit_card,4.0,1.0,16057.0,-21.17263500549719,-50.449305508202784,aracatuba,SP
2bfd14409ba8ba1153ce42b2abc44bb8,9522d39cabd497bd4bc5fb1b226cd5cf,delivered,2017-12-18 17:43:43,2017-12-18 18:52:09,2017-12-19 19:04:27,2018-01-05 13:46:27,2018-01-18 00:00:00,774efd8e5cc822162e0af7311d81f5c1,73780,agua fria de goias,GO,167.81,5.0,1.0,credit_card,5.0,1.0,73780.0,-14.974495376227203,-47.784387063729895,agua fria de goias,GO
faa01b7a24d0ba51d0d0ec652cd9b745,e6dfd24ec0d6e4e7002fa6dca5bf55a0,delivered,2018-07-10 18:14:47,2018-07-12 03:30:17,2018-07-12 07:30:00,2018-07-25 11:52:20,2018-08-06 00:00:00,7a76f872eec388119a13858df1571b2b,47950,cristopolis,BA,69.13,1.0,1.0,boleto,4.0,1.0,47950.0,-12.23446807165592,-44.4100200325766,cristopolis,BA
06aa0aa8c22027ebb953d501c4238512,dd22f1d0142d9698c0848674e843525c,delivered,2018-04-25 19:43:19,2018-04-25 20:31:06,2018-04-26 14:39:00,2018-04-27 17:37:28,2018-05-11 00:00:00,edcc7ce9b67e904a02c89576d13e1ada,1314,sao paulo,SP,78.78,2.0,1.0,credit_card,4.0,1.0,1314.0,-23.552640734461253,-46.64520437763303,sao paulo,SP
3762c0ef92b5bc397671e6d7e6d5672f,39bb2424304a318278cf4516500c657c,delivered,2017-08-15 21:32:14,2017-08-15 23:30:19,2017-08-17 18:47:31,2017-08-22 22:42:13,2017-09-12 00:00:00,cdc6cd6f0a8b8f844db9a61e779055b3,6270,osasco,SP,73.34,3.0,1.0,credit_card,5.0,1.0,6270.0,-23.496201243987443,-46.77137977151545,osasco,SP
